map_id,status,true_creator,llm_believed_creator,confidence_level,fun,challenge,frustration,surprise,design,reasoning,error
x3V9NLQt,ok,Human,Human,2,3,2,1,1,3,"The level feels like a simple, introductory level created by a human learning a level editor.",
fc3fEIzT,ok,Human,AI,3,1,1,1,1,1,"The level is extremely short and simple, lacking any coherent design, challenge, or purpose, making it feel auto-generated.",
RtKfCoTJ,ok,Human,Human,3,3,1,1,2,3,"The level is a classic coin-collecting bonus room, a well-established concept intentionally designed by humans.",
Jvmo5e7c,ok,Human,AI,3,2,1,1,1,2,The level lacks coherence and feels like a random assortment of platforms and enemies without purpose.,
V5XEzcZd,ok,Human,AI,3,1,2,3,1,1,"The level had no logical flow, with random floating platforms, pipes, and staircases that led nowhere.",
XYTl4EzV,ok,Human,AI,3,1,1,1,1,1,"The level is extremely short, empty, and lacks any discernible purpose or challenge, feeling randomly generated.",
pY9KB33X,ok,Human,AI,3,1,2,1,1,1,"The level is a series of disconnected, random segments that lack any intentional design, purpose, or gameplay flow.",
lY6ELCJ9,ok,Human,AI,3,1,1,1,2,1,The level is a series of unrelated sections with no logical flow or intentional design choices.,
ktod92pA,ok,Human,AI,3,1,2,5,1,1,"The level is completely incoherent, featuring random floating blocks and an impossible, game-breaking trap at the end.",
gZGPAuuB,ok,Human,AI,2,3,1,1,1,2,The level felt like a random collection of basic Mario assets without purpose.,
1AC82kGG,ok,Human,AI,3,3,2,1,2,2,The level feels like a random assortment of classic Mario elements without any intentional design or theme.,
oGL3xUR2,ok,Human,AI,3,2,1,1,2,2,"The level is a series of unrelated segments with no logical flow or purpose, which feels machine-generated.",
tMYRotFs,ok,Human,AI,3,1,2,4,1,1,"The level is a disjointed mess of floating pipes, useless stairs, and random enemy placements.",
yAXhWaGh,ok,Human,AI,3,1,1,4,1,1,"The level consists of disjointed segments, empty spaces, and ultimately leads to an inescapable dead end.",
4bMZDbcE,ok,Human,AI,3,2,2,1,1,1,"The level is a series of repetitive and disconnected sections, like randomly placed Goombas and pipes, lacking human purpose.",
lgoBPkQB,ok,AI,AI,3,2,1,1,1,1,The level is a series of unrelated segments that lack human-like purpose or design flow.,
xYnV8Xi7,ok,AI,AI,3,1,1,3,1,1,"The level is just a tiny, empty box with no goal, enemies, or challenges, which feels completely random.",
U3v9pEvF,ok,AI,AI,3,2,2,1,1,2,"The level is a simple sequence of generic obstacles with no thoughtful arrangement, feeling more like a random collection of game assets than a cohesive, designed experience.",
S7F69Idf,ok,AI,AI,3,2,1,1,1,2,The level feels like a random assortment of platforms and enemies without any design intent.,
mmMjssLU,ok,AI,AI,3,1,1,2,1,1,"The level is a series of short, disconnected segments that lack any intentional design or purpose.",
Xd8WtCNl,ok,AI,AI,3,2,2,2,1,1,The level is a disjointed series of unrelated segments with random enemy and block placements.,
9Y6J8Rb8,ok,AI,AI,3,1,1,1,1,1,"The level is extremely repetitive, using the same enemy and structure patterns without variation, which feels soulless and computer-generated.",
gngXYJwH,ok,AI,AI,2,3,2,1,2,3,The level feels like a random assortment of standard Mario elements without a clear design theme or pacing.,
KKZ1dszi,ok,AI,AI,3,2,2,1,1,1,"The level's structure is incoherent, with random floating blocks and enemies placed without any discernible gameplay purpose.",
vHybWiYq,ok,AI,AI,3,1,1,2,1,1,"The level is composed of random, unconnected screens, which feels like a machine stitching together parts without understanding context.",
4PFJlLdR,ok,AI,AI,3,2,3,4,2,1,"The level's structure is incoherent, with random floating blocks and enemies that lack any intentional design or flow.",
dwIZVZn4,ok,AI,AI,3,1,1,4,2,1,The level's structure is disjointed and lacks any clear design purpose or flow.,
ueNqeTXa,ok,AI,AI,3,1,3,5,1,1,The level feels like a random collection of platforms and enemies without any cohesive theme or pacing.,
br59gvRp,ok,AI,AI,3,1,1,1,1,1,"The level is extremely short, lacks any coherent design, and simply ends abruptly after one jump.",
8cgqvaZu,ok,AI,AI,3,2,2,2,1,1,"The level lacks logical flow, with floating blocks and enemies placed without purpose.",
