map_index,map_id,status,map_path,video_path,creator_belief,confidence_level,reasoning_for_creator_belief,enjoyment,difficulty,frustration,novelty,aesthetics,error
1,x3V9NLQt,ok,outputs\procedural_mario\x3V9NLQt.txt,outputs\procedural_mario\x3V9NLQt.mp4,AI-generated,3,"The level's structure appears random, with disjointed platforms and enemies placed without clear purpose or challenge progression.",2,1,1,1,2,
2,fc3fEIzT,ok,outputs\procedural_mario\fc3fEIzT.txt,outputs\procedural_mario\fc3fEIzT.mp4,AI-generated,3,The level consists of basic floating platforms and coins with no enemies or complex structures.,1,1,1,1,1,
3,RtKfCoTJ,ok,outputs\procedural_mario\RtKfCoTJ.txt,outputs\procedural_mario\RtKfCoTJ.mp4,AI-generated,3,The level is just a few floating platforms and coins with no enemies or interesting layout.,1,1,1,1,1,
4,Jvmo5e7c,ok,outputs\procedural_mario\Jvmo5e7c.txt,outputs\procedural_mario\Jvmo5e7c.mp4,AI-generated,3,"The level lacks coherent structure, with random gaps, floating blocks, and enemy placements that feel procedurally generated.",2,3,4,2,1,
5,V5XEzcZd,ok,outputs\procedural_mario\V5XEzcZd.txt,outputs\procedural_mario\V5XEzcZd.mp4,AI-generated,3,The level feels like a random collection of unrelated segments and enemy placements without logical flow.,2,2,1,1,1,
6,XYTl4EzV,ok,outputs\procedural_mario\XYTl4EzV.txt,outputs\procedural_mario\XYTl4EzV.mp4,AI-generated,3,The level consists of disconnected platforms and objects with no clear path or gameplay flow.,1,5,5,1,1,
7,pY9KB33X,ok,outputs\procedural_mario\pY9KB33X.txt,outputs\procedural_mario\pY9KB33X.mp4,AI-generated,3,"The level feels like a random collection of platforms, enemies, and pipes without any clear progression or purpose.",2,2,3,2,1,
8,lY6ELCJ9,ok,outputs\procedural_mario\lY6ELCJ9.txt,outputs\procedural_mario\lY6ELCJ9.mp4,AI-generated,3,"The level is a chaotic mix of floating blocks, pipes, and enemies without logical structure or flow.",2,2,3,2,1,
9,ktod92pA,ok,outputs\procedural_mario\ktod92pA.txt,outputs\procedural_mario\ktod92pA.mp4,AI-generated,3,"The level consists of random, disconnected segments with no clear flow or purpose.",1,2,1,1,1,
10,gZGPAuuB,ok,outputs\procedural_mario\gZGPAuuB.txt,outputs\procedural_mario\gZGPAuuB.mp4,AI-generated,3,The level feels like a random collection of elements without a clear design purpose or flow.,2,1,1,1,1,
11,1AC82kGG,ok,outputs\procedural_mario\1AC82kGG.txt,outputs\procedural_mario\1AC82kGG.mp4,AI-generated,3,The level features random enemy placements and disjointed platforming sections that lack intentional design.,2,4,4,3,1,
12,oGL3xUR2,ok,outputs\procedural_mario\oGL3xUR2.txt,outputs\procedural_mario\oGL3xUR2.mp4,AI-generated,3,"The level is a chaotic mix of floating blocks, gaps, and enemies without any clear design intent.",2,1,1,1,1,
13,tMYRotFs,ok,outputs\procedural_mario\tMYRotFs.txt,outputs\procedural_mario\tMYRotFs.mp4,AI-generated,3,"The level features random floating blocks, illogical enemy placements, and no clear path or theme.",1,2,4,2,1,
14,yAXhWaGh,ok,outputs\procedural_mario\yAXhWaGh.txt,outputs\procedural_mario\yAXhWaGh.mp4,AI-generated,3,"The level consists of disconnected platforms, random enemy placements, and a dead end with no clear objective.",1,2,5,2,1,
15,4bMZDbcE,ok,outputs\procedural_mario\4bMZDbcE.txt,outputs\procedural_mario\4bMZDbcE.mp4,AI-generated,3,"The level consists of random, disconnected segments without a clear design purpose or player guidance.",2,2,1,1,1,
16,lgoBPkQB,ok,outputs\procedural_mario\lgoBPkQB.txt,outputs\procedural_mario\lgoBPkQB.mp4,AI-generated,3,The level feels like a random collection of unrelated segments stitched together without clear purpose.,2,2,4,3,1,
17,xYnV8Xi7,ok,outputs\procedural_mario\xYnV8Xi7.txt,outputs\procedural_mario\xYnV8Xi7.mp4,AI-generated,3,"The level is impossible to complete, with no path forward and nonsensical object placement.",1,5,5,1,1,
18,U3v9pEvF,ok,outputs\procedural_mario\U3v9pEvF.txt,outputs\procedural_mario\U3v9pEvF.mp4,AI-generated,3,"The level features random floating blocks, illogical enemy placement, and a lack of coherent structure.",2,3,4,4,1,
19,S7F69Idf,ok,outputs\procedural_mario\S7F69Idf.txt,outputs\procedural_mario\S7F69Idf.mp4,AI-generated,3,"The level feels random, with floating blocks and pipes that don't form a cohesive challenge.",2,1,1,1,1,
20,mmMjssLU,ok,outputs\procedural_mario\mmMjssLU.txt,outputs\procedural_mario\mmMjssLU.mp4,AI-generated,3,The level is a series of disconnected segments with no clear design flow or purpose.,2,2,4,1,1,
21,Xd8WtCNl,ok,outputs\procedural_mario\Xd8WtCNl.txt,outputs\procedural_mario\Xd8WtCNl.mp4,AI-generated,3,"The level feels like a random collection of platforms, enemies, and objects without a coherent flow.",2,3,3,2,1,
22,9Y6J8Rb8,ok,outputs\procedural_mario\9Y6J8Rb8.txt,outputs\procedural_mario\9Y6J8Rb8.mp4,AI-generated,3,The level consists of disconnected segments with random enemy and block placements that lack purpose or challenge.,1,1,1,1,1,
23,gngXYJwH,ok,outputs\procedural_mario\gngXYJwH.txt,outputs\procedural_mario\gngXYJwH.mp4,AI-generated,2,"The placement of enemies, blocks, and gaps feels random and lacks a coherent theme or challenge progression.",2,2,1,2,2,
24,KKZ1dszi,ok,outputs\procedural_mario\KKZ1dszi.txt,outputs\procedural_mario\KKZ1dszi.mp4,AI-generated,3,"The level feels like a random assortment of enemies, pipes, and blocks without clear purpose or flow.",2,3,4,2,1,
25,vHybWiYq,ok,outputs\procedural_mario\vHybWiYq.txt,outputs\procedural_mario\vHybWiYq.mp4,AI-generated,3,The level feels like a random collection of assets without any coherent structure or player guidance.,2,3,4,2,1,
26,4PFJlLdR,ok,outputs\procedural_mario\4PFJlLdR.txt,outputs\procedural_mario\4PFJlLdR.mp4,AI-generated,3,The level consists of floating blocks and enemies placed without clear purpose or flow.,2,3,4,2,1,
27,dwIZVZn4,ok,outputs\procedural_mario\dwIZVZn4.txt,outputs\procedural_mario\dwIZVZn4.mp4,AI-generated,2,The placement of enemies and platforms seems random and lacks a cohesive design flow.,2,2,1,1,2,
28,ueNqeTXa,ok,outputs\procedural_mario\ueNqeTXa.txt,outputs\procedural_mario\ueNqeTXa.mp4,AI-generated,3,The level feels like a random collection of platforms and enemies without any intentional design flow.,2,1,1,1,1,
29,br59gvRp,ok,outputs\procedural_mario\br59gvRp.txt,outputs\procedural_mario\br59gvRp.mp4,AI-generated,3,The level consists of random floating blocks and enemies without any clear design intent or flow.,1,1,1,1,1,
30,8cgqvaZu,ok,outputs\procedural_mario\8cgqvaZu.txt,outputs\procedural_mario\8cgqvaZu.mp4,AI-generated,3,"The level's structure is chaotic, with random enemy and platform placements lacking any coherent flow.",2,3,4,2,1,
