belief_group,metric,llm_mean,paper_mean,absolute_error,group_mae
AI,fun,2.0,2.92,0.9199999999999999,1.5370967741935484
AI,challenge,1.5161290322580645,3.88,2.3638709677419354,1.5370967741935484
AI,frustration,1.5806451612903225,3.6,2.0193548387096776,1.5370967741935484
AI,surprise,1.1612903225806452,2.65,1.4887096774193547,1.5370967741935484
AI,design,1.8064516129032258,2.7,0.8935483870967744,1.5370967741935484
Human,fun,3.6206896551724137,3.72,0.0993103448275865,0.8248275862068966
Human,challenge,2.3793103448275863,3.65,1.2706896551724136,0.8248275862068966
Human,frustration,1.4137931034482758,2.84,1.426206896551724,0.8248275862068966
Human,surprise,1.3103448275862069,2.62,1.3096551724137933,0.8248275862068966
Human,design,3.5517241379310347,3.57,0.018275862068965143,0.8248275862068966
